"id","created","name","position","foot","height","weight","dob","cityob","countryob","nt","club","age"
"2f557579","2021-12-30 16:46:00","Lorenzo Insigne","FW-MF (AM, left)","94% Right",163,59,"June 4, 1991","Naples","Italy","Italy","Napoli",30
"2f6ec02a","2021-12-30 16:34:07","Kieran Dowell","FW-MF (AM)","Right",184,59,"October 10, 1997","Ormskirk","England",NULL,"Norwich City",24
"2f7acede","2021-12-30 16:25:35","Harry Winks","MF (DM)","88% Right",178,65,"February 2, 1996","Hemel Hempstead","England","England","Tottenham Hotspur",25
"2f8d27bc","2021-12-30 16:28:54","Nathan Ferguson","DF","Right",178,70,"October 6, 2000",NULL,NULL,NULL,"Crystal Palace",21
"2f90f6b8","2021-12-30 16:23:41","James Milner","DF-MF (CM-FB-WM)","90% Right",176,70,"January 4, 1986","Leeds","England","England","Liverpool",35
"2f965a72","2021-12-30 16:25:15","Alphonse Areola","GK","91% Right",192,88,"February 27, 1993","Paris","France","France","Paris Saint-Germain",28
"2f9e4435","2021-12-30 16:21:29","Dango Ouattara","FW","Left",172,NULL,"February 11, 2002","Ouagadougou","Burkina Faso",NULL,"Lorient",19
"2fa2a875","2021-12-30 16:03:34","Benjamin Lecomte","GK","73% Left",186,78,"April 26, 1991","Paris","France",NULL,"Atlético Madrid",30
"2fba6108","2021-12-30 16:26:23","Anthony Elanga","FW","Right",178,65,"April 27, 2002",NULL,NULL,NULL,"Manchester United",19
"2fbe6af0","2021-12-30 16:01:29","Iván Romero","FW","Right",172,71,"April 10, 2001","La Solana","Spain",NULL,"Sevilla",20
"2ff964a0","2021-12-30 16:32:34","Aaron Lennon","FW-MF (AM-WM, right)","89% Right",165,62,"April 16, 1987","Leeds","England","England","Burnley",34
"30061f53","2021-12-30 16:09:04","Dominik Greif","GK","Right",197,82,"April 6, 1997","Bratislava","Slovakia","Slovakia","Mallorca",24
"3010aefb","2021-12-30 16:15:27","Marcus Coco","FW-MF (AM)","84% Right",180,75,"June 24, 1996","Les Abymes","Guadeloupe",NULL,"Nantes",25
"30144daa","2021-12-30 16:14:14","Stephy Mavididi","FW-MF","84% Right",177,71,"May 31, 1998","Derby","England",NULL,"Montpellier",23
"30223b33","2021-12-30 16:45:51","Antonio Mirante","GK","94% Right",194,78,"July 8, 1983","Castellammare di Stabia","Italy",NULL,"Milan",38
"3024e383","2021-12-30 16:08:01","José Ángel","DF (FB, left)","88% Left",182,77,"September 5, 1989","Gijón","Spain",NULL,"Osasuna",32
"302527b2","2021-12-30 16:35:41","Philipp Lienhart","DF (CB, right)","89% Right",185,78,"July 11, 1996","Lilienfeld","Austria","Austria","Freiburg",25
"30261ba1","2021-12-30 16:43:29","Nikolas Nartey","MF",NULL,185,80,"February 22, 2000","Bagsværd","Denmark",NULL,"Stuttgart",21
"3061e1ec","2021-12-30 16:01:00","Andriy Lunin","GK",NULL,191,80,"February 11, 1999","Krasnohrad","Ukraine","Ukraine","Real Madrid",22
"30670b0e","2021-12-30 16:04:48","Arnau Tenas","GK","Right",185,78,"May 30, 2001","Vic","Spain",NULL,"Barcelona",20
"3067cbef","2021-12-30 16:16:00","Kouadio-Yves Dabila","DF","92% Right",183,72,"January 1, 1997","Kouassi-Datékro","Côte d'Ivoire",NULL,"Lille",24
"30941e96","2021-12-30 16:39:58","Angeliño","DF-MF (FB, left)","92% Left",175,68,"January 4, 1997","Coristanco","Spain",NULL,"RB Leipzig",24
"30ae134d","2021-12-30 16:38:29","Kevin Behrens","FW","Right",184,NULL,"February 3, 1991","Bremen","Germany",NULL,"Union Berlin",30
"30af8b93","2021-12-30 16:14:45","Caio Henrique Oliveira Silva","DF-MF (FB, left)","89% Left",178,70,"July 31, 1997","Santos","Brazil",NULL,"Monaco",24
"30c220c3","2021-12-30 16:36:46","Mitchell Weiser","DF-MF (FB-WM, right)","84% Right",176,67,"April 21, 1994","Troisdorf","Germany",NULL,"Werder Bremen",27
"30db8574","2021-12-30 16:30:20","Mads Bech Sørensen","DF","Left",193,77,"January 7, 1999","Horsens","Denmark",NULL,"Brentford",22
"30f5ffa9","2021-12-30 16:44:35","Milan Škriniar","DF-MF (CB)","85% Right",187,80,"February 11, 1995","Okres Žiar nad Hronom","Slovakia","Slovakia","Internazionale",26
"311027cb","2021-12-30 16:49:58","Leonardo Mancuso","FW",NULL,183,80,"May 26, 1992","Milan","Italy",NULL,"Empoli",29
"313254a3","2021-12-30 16:36:04","Kiliann Sildillia","DF","Right",186,71,"May 16, 2002","Montigny-lès-Metz","France",NULL,"Freiburg",19
"31626657","2021-12-30 16:21:17","Laurent Abergel","DF-MF (CM-FB, left)","91% Right",170,65,"February 1, 1993","Marseille","France",NULL,"Lorient",28
"31822f8c","2021-12-30 16:24:33","Folarin Balogun","FW","Right",179,73,"July 3, 2001","England","United Kingdom",NULL,"Arsenal",20
"31a62dc7","2021-12-30 16:15:39","Zeki Çelik","DF (FB, right)","91% Right",180,73,"February 17, 1997","Yıldırım","Turkey","Turkey","Lille",24
"31c69ef1","2021-12-30 16:22:08","Rúben Dias","DF (CB)","84% Right",186,82,"May 14, 1997","Amadora Municipality","Portugal","Portugal","Manchester City",24
"31f5b89b","2021-12-30 16:02:09","Paul Akouokou","MF","87% Right",190,83,"December 20, 1997","Abidjan","Côte d'Ivoire",NULL,"Real Betis",24
"321a71a7","2021-12-30 16:16:52","Maxime Le Marchand","DF-MF (CB-FB-WM, left)","86% Left",181,68,"October 11, 1989","St-Malo","France",NULL,"Strasbourg",32
"3239a8ed","2021-12-30 16:01:01","Rafa","DF",NULL,NULL,NULL,"May 19, 2002",NULL,NULL,NULL,"Real Madrid",19
"32974271","2021-12-30 16:02:40","Sergi Guardiola","FW-MF","86% Left",187,81,"May 29, 1991","Manacor","Spain",NULL,"Rayo Vallecano",30
"32c0491f","2021-12-30 16:05:16","Cristiano Piccini","DF (FB, right)","85% Right",183,83,"September 26, 1992","Florence","Italy","Italy","Valencia",29
"32c2d95f","2021-12-30 16:18:44","Yunis Abdelhamid","DF (CB, left)","70% Left",190,84,"September 28, 1987","Montpellier","France","Morocco","Reims",34
"32f60ed8","2021-12-30 16:26:55","Morgan Gibbs-White","MF","96% Right",177,67,"January 27, 2000","Stafford","England",NULL,"Sheffield United",21
"3312f911","2021-12-30 16:28:40","Jeffrey Schlupp","DF-FW-MF (FB, left)","79% Left",178,72,"December 23, 1992","Hamburg","Germany","Ghana","Crystal Palace",29
"3318286e","2021-12-30 16:07:07","Luís Maximiano","GK","94% Right",190,83,"January 5, 1999","Celeiros","Portugal",NULL,"Granada",22
"3341009a","2021-12-30 16:04:45","Guillem Jaime","DF",NULL,NULL,NULL,"January 6, 1999",NULL,NULL,NULL,"Barcelona",22
"335039a2","2021-12-30 16:10:13","Pere Milla","FW-MF (WM)","80% Left",179,70,"September 23, 1992","Lleida","Spain",NULL,"Elche",29
"33508c78","2021-12-30 16:15:04","Cesc Fàbregas","FW-MF (AM-CM-DM)","90% Right",175,74,"May 4, 1987","Arenys De Mar","Spain","Spain","Monaco",34
"3353737a","2021-12-30 16:25:21","Sergio Reguilón","DF (FB, left)","91% Left",176,64,"December 16, 1996","Madrid","Spain","Spain","Tottenham Hotspur",25
"335fa267","2021-12-30 16:04:26","Sergi Roberto","DF-MF (AM-CM-FB, right)","86% Right",185,70,"February 7, 1992","Reus","Spain","Spain","Barcelona",29
"3376a776","2021-12-30 16:01:15","Karim Rekik","DF (CB, left)","87% Left",186,80,"December 2, 1994","The Hague","Netherlands","Netherlands","Sevilla",27
"33887998","2021-12-30 16:22:42","Edouard Mendy","GK","93% Right",197,86,"March 1, 1992","Montivilliers","France","Senegal","Chelsea",29
"339fe0e8","2021-12-30 16:49:28","Thomas Strakosha","GK","94% Right",192,80,"March 19, 1995","Athens","Greece","Albania","Lazio",26
"33a61a52","2021-12-30 16:11:26","Carlos Clerc","DF (FB, left)","94% Left",182,72,"February 21, 1992","Badalona","Spain",NULL,"Levante",29
"33b8d077","2021-12-30 16:44:33","Marcelo Brozović","MF (CM-DM)","85% Right",181,68,"November 16, 1992","City of Zagreb","Croatia","Croatia","Internazionale",29
"33d2c795","2021-12-30 16:00:57","Toni Fuidias","GK",NULL,NULL,NULL,"April 15, 2001",NULL,NULL,NULL,"Real Madrid",20
"33ecf462","2021-12-30 16:53:47","Valerio Verre","FW-MF","75% Right",180,70,"January 11, 1994","Rome","Italy",NULL,"Sampdoria",27
"3423f250","2021-12-30 16:31:07","Raphael Dias Belloli","FW-MF (AM-WM, right)","90% Left",176,78,"December 14, 1996","Porto Alegre","Brazil","Brazil","Leeds United",25
"34269bdf","2021-12-30 16:08:22","Renato Tapia","DF-MF (CB-CM-DM)","87% Right",185,78,"July 28, 1995","Lima","Peru","Peru","Celta Vigo",26
"343c0d52","2021-12-30 16:52:12","Giovanni Simeone","FW","88% Right",181,81,"July 5, 1995","Buenos Aires F.D.","Argentina","Argentina","Verona",26
"34693494","2021-12-30 16:47:49","Fabio Miretti","MF",NULL,NULL,NULL,"August 3, 2003",NULL,NULL,NULL,"Juventus",18
"34a0f5ff","2021-12-30 16:20:21","Javairô Dilrosun","FW-MF","85% Left",174,74,"June 22, 1998","Amsterdam","Netherlands","Netherlands","Bordeaux",23
"34b0387f","2021-12-30 16:39:35","Lee Jae-sung","FW-MF (AM)","81% Left",180,70,"August 10, 1992","Ulsan","Korea Republic","Korea Republic","Mainz 05",29
"34b54da7","2021-12-30 16:42:35","Tony Jantschke","DF-MF (DM-FB)","83% Right",177,77,"April 7, 1990","Hoyerswerda","Germany",NULL,"Mönchengladbach",31
"34caa4b3","2021-12-30 16:01:28","Oussama Idrissi","FW-MF","90% Right",183,78,"February 26, 1996","Gemeente Bergen op Zoom","Netherlands","Morocco","Sevilla",25
"34e12499","2021-12-30 16:35:42","Nico Schlotterbeck","DF","86% Left",191,85,"December 1, 1999","Waiblingen","Germany",NULL,"Freiburg",22
"34e393f2","2021-12-30 16:01:42","Guido Rodríguez","MF (CM-DM, right)","90% Right",185,78,"April 12, 1994","Sáenz Peña","Argentina","Argentina","Real Betis",27
"34e4343c","2021-12-30 16:38:45","Anthony Modeste","FW","89% Right",187,90,"April 14, 1988","Cannes","France",NULL,"Köln",33
"3515d404","2021-12-30 16:29:34","James Ward-Prowse","MF (AM-CM-DM, right)","90% Right",173,66,"November 1, 1994","Portsmouth","England","England","Southampton",27
"351b0282","2021-12-30 16:48:58","Destiny Egharevba","FW","Right",NULL,NULL,"February 4, 2003","Verona","Italy",NULL,"Fiorentina",18
"3521abfe","2021-12-30 16:08:34","Carlos Dominguez","DF","80% Left",187,73,"January 1, 2001","Vigo","Spain",NULL,"Celta Vigo",20
"3544641e","2021-12-30 16:20:26","Sekou Mara","FW","Right",184,70,"July 30, 2002","Paris","France",NULL,"Bordeaux",19
"355c883a","2021-12-30 16:10:28","Martin Agirregabiria","DF (FB, right)","92% Right",178,74,"May 10, 1996","Vitoria-Gasteiz","Spain",NULL,"Alavés",25
"356c9002","2021-12-30 16:53:28","Antonio Candreva","DF-FW-MF (AM-CM-WM, right)","82% Right",180,70,"February 28, 1987","Rome","Italy","Italy","Sampdoria",34
"3594a357","2021-12-30 16:04:08","Naïs Djouahra","MF",NULL,NULL,NULL,"November 23, 1999",NULL,NULL,NULL,"Real Sociedad",22
"35a2557c","2021-12-30 16:54:43","Francesco Di Mariano","FW-MF",NULL,177,NULL,"April 20, 1996","Palermo","Italy",NULL,"Lecce",25
"35a6e5c7","2021-12-30 16:08:36","Gabriel Veiga","MF","Right",178,67,"May 27, 2002","Porriño","Spain",NULL,"Celta Vigo",19
"35b4bc62","2021-12-30 16:50:41","Wisdom Amey","DF","Right",187,70,"August 11, 2005","Bassano del Grappa","Italy",NULL,"Bologna",16
"35d4f151","2021-12-30 16:07:03","Rubén","DF",NULL,NULL,NULL,"February 4, 2001","Barcelona","Spain",NULL,"Espanyol",20
"35d64857","2021-12-30 16:37:40","Tuta","DF","90% Right",184,79,"July 4, 1999","São Paulo","Brazil",NULL,"Eintracht Frankfurt",22
"35dd6d80","2021-12-30 16:55:30","Domenico Criscito","DF (CB-FB, left)","87% Left",183,75,"December 30, 1986","Cercola","Italy","Italy","Genoa",35
"35e413f1","2021-12-30 16:24:02","Ben White","DF (CB, right)","91% Right",175,74,"October 8, 1997","Poole","England","England","Arsenal",24
"35f67a30","2021-12-30 16:37:23","Fisnik Asllani","FW","Right",180,NULL,"August 8, 2002","Berlin","Germany",NULL,"Hoffenheim",19
"360d70f8","2021-12-30 16:09:04","Lago Junior","FW-MF","77% Right",185,75,"December 31, 1990","Abidjan","Côte d'Ivoire","Côte d'Ivoire","Mallorca",30
"3624ce4c","2021-12-30 16:07:22","Víctor Díaz","DF (FB, right)","91% Right",183,69,"June 12, 1988","Seville","Spain",NULL,"Granada",33
"3631ad41","2021-12-30 16:31:48","Jeremy Ngakia","DF","89% Right",184,77,"September 7, 2000","England","United Kingdom",NULL,"Watford",21
"365113c0","2021-12-30 16:11:53","Pubill","DF",NULL,NULL,NULL,"June 20, 2003","Terrassa","Spain",NULL,"Levante",18
"366be751","2021-12-30 16:47:48","Nicolò Fagioli","MF","Right",178,70,"February 12, 2001","Piacenza","Italy",NULL,"Cremonese",20
"36720886","2021-12-30 16:50:44","Davide Franzini","GK",NULL,NULL,NULL,"February 8, 2005","Thiene","Italy",NULL,"Bologna",16
"3672b352","2021-12-30 16:08:00","Javi Martínez","MF","89% Right",180,76,"December 22, 1999","Soria","Spain",NULL,"Osasuna",22
"3681cfff","2021-12-30 16:17:47","Christophe Hérelle","DF (CB)","89% Right",179,74,"August 22, 1992","Nice","France",NULL,"Brest",29
"36a3ff67","2021-12-30 16:35:01","Marco Reus","FW-MF (AM-WM)","77% Right",180,71,"May 31, 1989","Kreisfreie Stadt Dortmund","Germany","Germany","Dortmund",32
"36a59ba4","2021-12-30 16:42:29","Florian Neuhaus","MF (CM-DM)","81% Right",182,74,"March 16, 1997","Landsberg am Lech","Germany","Germany","Mönchengladbach",24
"36c2ca73","2021-12-30 16:29:36","Alex McCarthy","GK","87% Right",193,82,"December 3, 1989","Guildford","England","England","Southampton",32
"36cf2caf","2021-12-30 16:43:38","Matej Maglica","DF","Left",196,NULL,"September 25, 1998","Slavonski Brod","Croatia",NULL,"Stuttgart",23
"36e88fbc","2021-12-30 16:50:26","Luis Binks","DF","84% Left",184,80,"September 2, 2001","England","United Kingdom",NULL,"Bologna",20
"3708e9fa","2021-12-30 16:14:57","Aleksandr Golovin","MF (AM-CM)","85% Right",180,70,"May 30, 1996","Kaltanchik","Russia","Russia","Monaco",25
"3727dd3c","2021-12-30 16:33:10","Jonjo Shelvey","MF (CM-DM)","89% Right",183,70,"February 27, 1992","Romford","England","England","Newcastle United",29
"3745e8bd","2021-12-30 16:41:18","Sebastian Polter","FW","65% Right",191,83,"April 1, 1991","Wilhelmshaven","Germany",NULL,"Bochum",30
"374d5158","2021-12-30 16:01:11","Gonzalo Montiel","DF (FB, right)","94% Right",180,73,"January 1, 1997","González Catán","Argentina","Argentina","Sevilla",24
"374ee424","2021-12-30 16:03:37","Álex Remiro","GK","86% Right",192,80,"March 24, 1995","Cascante","Spain",NULL,"Real Sociedad",26
"375622c5","2021-12-30 16:14:14","Jordan Ferri","MF (CM-DM)","94% Right",172,70,"March 12, 1992","Cavaillon","France",NULL,"Montpellier",29
"375ed9d7","2021-12-30 16:11:20","Milutin Osmajić","MF",NULL,NULL,NULL,"July 25, 1999","Montenegro
    
  ",NULL,"Montenegro","Cádiz",22
"378825c7","2021-12-30 16:42:27","Ramy Bensebaini","DF-MF (CB-DM-FB, left)","78% Left",188,75,"April 16, 1995","Constantine","Algeria","Algeria","Mönchengladbach",26
"379652be","2021-12-30 16:06:47","Óscar Melendo","MF","89% Left",167,65,"August 23, 1997","Barcelona","Spain",NULL,"Espanyol",24
"37d04e90","2021-12-30 16:18:48","Ilan Kebbal","MF","84% Left",166,51,"July 9, 1998",NULL,NULL,NULL,"Reims",23
"37dc1a48","2021-12-30 16:37:38","Jesper Lindstrøm","MF","80% Right",180,63,"February 29, 2000","Taastrup","Denmark","Denmark","Eintracht Frankfurt",21
"37e103f8","2021-12-30 16:05:02","Hugo Duro","FW","63% Left",178,72,"November 10, 1999","Getafe","Spain",NULL,"Valencia",22
"37f1cf47","2021-12-30 16:06:31","Ander Capa","DF-MF (FB-WM, right)","91% Right",176,68,"February 8, 1992","Portugalete","Spain",NULL,"Athletic Club",29
"37f606f0","2021-12-30 16:37:01","Dennis Geiger","MF","91% Right",172,65,"June 10, 1998","Mosbach","Germany",NULL,"Hoffenheim",23
"37f827ec","2021-12-30 16:09:53","Enzo Roco","DF (CB)","82% Right",188,82,"August 16, 1992","Ovalle","Chile","Chile","Elche",29
"380a15e2","2021-12-30 16:14:28","Dimitry Bertaud","GK","91% Right",179,80,"June 6, 1998","Montpellier","France",NULL,"Montpellier",23
"38126309","2021-12-30 16:09:03","Aleix Febas","MF","85% Right",171,NULL,"February 2, 1996","Lleida","Spain",NULL,"Mallorca",25
"3814b753","2021-12-30 16:19:29","Gerson Rodrigues","FW-MF","96% Right",188,80,"June 20, 1995","Pragal","Portugal","Luxembourg","Troyes",26
"384d58d9","2021-12-30 16:42:22","Denis Zakaria","MF (CM-DM)","98% Right",191,76,"November 20, 1996","Kinshasa","Congo DR","Switzerland","Mönchengladbach",25
"38699c72","2021-12-30 16:11:06","Anthony Lozano","FW","87% Right",183,74,"April 25, 1993","Yoro","Honduras","Honduras","Cádiz",28
"3870f7c3","2021-12-30 16:19:13","Nicolas Penneteau","GK","Right",185,78,"February 28, 1981","Marseille","France",NULL,"Reims",40
"387e1d35","2021-12-30 16:22:39","Luke Mbete-Tatu","DF","Left",185,78,"September 18, 2000","London","England",NULL,"Manchester City",21
"38b0cf42","2021-12-30 16:09:08","Javier Llabrés","FW",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mallorca",NULL
"38c7feef","2021-12-30 16:23:40","Alex Oxlade-Chamberlain","MF (CM-WM)","89% Right",180,75,"August 15, 1993","Portsmouth","England","England","Liverpool",28
"38ce1150","2021-12-30 16:11:25","Jorge de Frutos","MF","90% Right",173,70,"February 20, 1997","Aranda de Duero","Spain",NULL,"Levante",24
"38ceb24a","2021-12-30 16:27:43","Leandro Trossard","FW-MF (AM)","78% Right",172,61,"December 4, 1994","Maasmechelen","Belgium","Belgium","Brighton & Hove Albion",27
"38d9ce53","2021-12-30 16:55:05","Janis Antiste","FW",NULL,180,70,"August 18, 2002","Toulouse","France",NULL,"Spezia",19
"3902e91b","2021-12-30 16:11:35","Gonzalo Melero","MF (CM)","90% Right",183,77,"January 2, 1994","Madrid","Spain",NULL,"Levante",27
"3935e52e","2021-12-30 16:24:32","Sead Kolašinac","DF-MF (CB-FB, left)","89% Left",183,82,"June 20, 1993","Karlsruhe","Germany","Bosnia and Herzegovina","Arsenal",28
"39583cfd","2021-12-30 16:52:56","Gerard Deulofeu","FW-MF (WM)","92% Right",176,72,"March 13, 1994","Riudarenes","Spain","Spain","Udinese",27
"39aa05a7","2021-12-30 16:50:41","Ebenezer Annan","DF","Left",178,69,"August 21, 2002",NULL,NULL,NULL,"Bologna",19
"3a233281","2021-12-30 16:29:13","Leon Bailey","FW-MF (AM)","78% Left",181,70,"August 9, 1997","Kingston","Jamaica","Jamaica","Aston Villa",24
"3a24769f","2021-12-30 16:23:10","Ross Barkley","MF (AM-CM)","86% Right",189,83,"December 5, 1993","Liverpool","England","England","Chelsea",28
"3a58d075","2021-12-30 16:05:16","Koba Koindredi","MF","Right",184,76,"October 27, 2001","Païta","New Caledonia",NULL,"Valencia",20
"3a949a25","2021-12-30 16:33:16","Martin Dúbravka","GK","94% Right",190,83,"January 15, 1989","Žilina","Slovakia","Slovakia","Newcastle United",32
"3a9c4b7b","2021-12-30 16:07:42","Nacho Vidal","DF (FB, right)","91% Right",180,74,"January 24, 1995","el Campello","Spain",NULL,"Osasuna",26
"3aa4a3be","2021-12-30 16:02:21","Loren Morón","FW","92% Right",185,80,"December 30, 1993","Marbella","Spain",NULL,"Espanyol",28
"3aa74860","2021-12-30 16:08:38","Hugo Sotelo","MF","Right",189,74,"December 19, 2003","Vigo","Spain",NULL,"Celta Vigo",18
"3aafd050","2021-12-30 16:46:32","Luca Palmiero","MF (CM)",NULL,NULL,NULL,"May 1, 1996",NULL,NULL,NULL,"Cosenza",25
"3ae14ed1","2021-12-30 16:29:32","Trézéguet","FW-MF (AM-CM)","92% Right",179,65,"October 1, 1994","Kafr El Sheikh","Egypt","Egypt","Aston Villa",27
"3af4b033","2021-12-30 16:41:42","Paul Grave","GK","Right",193,86,"April 10, 2001","Borken","Germany",NULL,"Bochum",20
"3b12b11f","2021-12-30 16:46:29","Alessandro Zanoli","DF",NULL,NULL,NULL,"October 3, 2000",NULL,NULL,NULL,"Napoli",21
"3b1ed320","2021-12-30 16:37:07","Angelo Stiller","MF","89% Left",183,77,"April 4, 2001","München","Germany",NULL,"Hoffenheim",20
"3b333ac3","2021-12-30 16:46:59","Hans Hateboer","DF-MF (DM-FB, right)","81% Right",185,72,"January 9, 1994","Beerta","Netherlands","Netherlands","Atalanta",27
"3b387cc7","2021-12-30 16:46:24","Gianluca Gaetano","MF",NULL,NULL,NULL,"May 5, 2000",NULL,NULL,NULL,"Cremonese",21
"3b3cbebb","2021-12-30 16:02:51","Yacine Qasmi","FW",NULL,184,75,"January 3, 1991","Pontoise","France",NULL,"Rayo Vallecano",30
"3b61c9ec","2021-12-30 16:47:29","Luca Pellegrini","DF","83% Left",184,72,"March 7, 1999","Rome","Italy","Italy","Juventus",22
"3b8674e6","2021-12-30 16:47:25","Rodrigo Bentancur","MF (CM-DM)","81% Right",185,73,"June 5, 1997","Colonia del Sacramento","Uruguay","Uruguay","Juventus",24
"3ba95f20","2021-12-30 16:39:16","Tomáš Ostrák","MF","Right",176,70,"February 5, 2000","Frýdek-Místek","Czech Republic",NULL,"Köln",21
"3bb625ac","2021-12-30 16:43:59","Edimilson Fernandes","MF","88% Right",190,70,"April 15, 1996","Sion","Switzerland","Switzerland","Mainz 05",25
"3bb7af3b","2021-12-30 16:48:41","Riccardo Saponara","FW-MF (AM)","72% Right",184,73,"December 21, 1991","Forlì","Italy",NULL,"Fiorentina",30
"3bb7b8b4","2021-12-30 16:22:06","Ederson","GK","82% Left",188,89,"August 17, 1993","Osasco","Brazil","Brazil","Manchester City",28
"3bb7f478","2021-12-30 16:44:44","Edin Džeko","FW","78% Right",193,85,"March 17, 1986","Sarajevo","Bosnia and Herzegovina","Bosnia and Herzegovina","Internazionale",35
"3befc2b6","2021-12-30 16:15:09","Andrei Girotto","DF-MF (CB-DM)","91% Right",185,76,"February 17, 1992","Bento Gonçalves","Brazil",NULL,"Nantes",29
"3c16d927","2021-12-30 16:01:39","Alejandro Pozo Pozo","DF-MF (AM-FB, right)","88% Right",174,69,"February 22, 1999","Huévar del Aljarafe","Spain","Spain","Almería",22
"3c33f9d9","2021-12-30 16:34:09","Przemysław Płacheta","MF",NULL,178,72,"March 23, 1998","Lowicz","Poland","Poland","Norwich City",23
"3c6089ab","2021-12-30 16:34:26","Thomas Müller","FW-MF (AM-WM)","83% Right",186,75,"September 13, 1989","Weilheim ","Germany","Germany","Bayern Munich",32
"3c6bbbab","2021-12-30 16:20:44","Fabien Centonze","DF-MF (FB, right)","83% Right",190,82,"January 16, 1996","Voiron","France",NULL,"Metz",25
"3ca6106c","2021-12-30 16:08:31","Augusto Solari","MF","98% Right",180,80,"January 3, 1992","Rosario","Argentina",NULL,"Celta Vigo",29
"3ca7254a","2021-12-30 16:49:02","Pedro","FW-MF (AM-WM, right)","72% Right",167,62,"July 28, 1987","Santa Cruz de Tenerife","Spain","Spain","Lazio",34
"3cb132e6","2021-12-30 16:51:31","Jacopo Segre","MF","Right",185,79,"February 17, 1997","Torino","Italy",NULL,"Perugia",24
"3cd3b384","2021-12-30 16:53:32","Tommaso Augello","DF (FB, left)","94% Left",180,72,"August 30, 1994","Milan","Italy",NULL,"Sampdoria",27
"3cd7820a","2021-12-30 16:21:51","Lucas Douath","MF","88% Right",185,77,"August 5, 2003","Villeneuve-Saint-Georges","France",NULL,"Saint-Étienne",18
"3cd9e95a","2021-12-30 16:38:53","Timo Horn","GK","79% Left",192,76,"May 12, 1993","Cologne","Germany",NULL,"Köln",28
"3cefcaef","2021-12-30 16:00:36","Ferland Mendy","DF (FB, left)","72% Left",178,73,"June 8, 1995","Meulan-en-Yvelines","France","France","Real Madrid",26
"3d214e5f","2021-12-30 16:17:35","Marco Bizot","GK","87% Right",183,85,"March 10, 1991","Gemeente Hoorn","Netherlands","Netherlands","Brest",30
"3d46127c","2021-12-30 16:31:31","Jack Jenkins","MF","Right",190,77,"March 23, 2002","England","United Kingdom",NULL,"Leeds United",19
"3d50bcdb","2021-12-30 16:30:59","Moise Kean","FW","86% Right",182,77,"February 28, 2000","Vercelli","Italy","Italy","Juventus",21
"3d688b46","2021-12-30 16:07:32","Yan Brice Eteki","MF (DM)","93% Right",182,77,"August 26, 1997","Yaoundé","Cameroon","Cameroon","Granada",24
"3d738df0","2021-12-30 16:20:08","Josué Albert","DF",NULL,185,86,"January 21, 1992","Colombes","France",NULL,"Clermont Foot",29
"3d7e48ce","2021-12-30 16:11:17","Iván Alejo","MF","91% Right",186,75,"February 10, 1995","Valladolid","Spain",NULL,"Cádiz",26
"3dcacc7c","2021-12-30 16:53:16","Jacopo Fedrizzi","MF",NULL,NULL,NULL,"March 18, 2003",NULL,NULL,NULL,"Udinese",18
"3dcef539","2021-12-30 16:30:25","Tariqe Fosu","FW-MF","Right",180,66,"November 5, 1995","Wandsworth","England","Ghana","Brentford",26
"3dd738a1","2021-12-30 16:14:50","Ruben Aguilar","DF-MF (FB, right)","96% Right",172,70,"April 26, 1993","Grenoble","France","France","Monaco",28
"3df57458","2021-12-30 16:16:35","Yannick Pandor","GK","Left",178,73,"May 1, 2001","Marseille","France",NULL,"Lens",20
"3e092724","2021-12-30 16:15:19","Wylan Cyprien","MF (CM-DM)","82% Right",181,75,"January 28, 1995","Les Abymes","Guadeloupe",NULL,"Nantes",26
"3e1550ee","2021-12-30 16:22:34","Scott Carson","GK","Right",192,86,"September 3, 1985","Whitehaven","England","England","Manchester City",36
"3e42f707","2021-12-30 16:07:43","David García","DF-MF (CB-CM, left)","63% Right",185,70,"February 14, 1994","Pamplona","Spain",NULL,"Osasuna",27
"3e9e06cb","2021-12-30 16:24:53","Craig Dawson","DF (CB-FB, right)","93% Right",188,82,"May 6, 1990","Rochdale","England",NULL,"West Ham United",31
"3ea50f67","2021-12-30 16:27:11","Harvey Barnes","FW-MF (AM, left)","86% Right",174,68,"December 9, 1997","Leicester","England","England","Leicester City",24
"3ead85f9","2021-12-30 16:45:20","Alessio Romagnoli","DF (CB-FB, left)","88% Left",188,78,"January 12, 1995","Anzio","Italy","Italy","Milan",26
"3eaf5cc3","2021-12-30 16:47:05","Andrea Oliveri","MF","Right",NULL,NULL,"January 14, 2003","Palermo","Italy",NULL,"Atalanta",18
"3eb0f2df","2021-12-30 16:40:46","Vladimír Darida","MF (AM-DM)","77% Right",170,60,"August 8, 1990","Sokolov","Czech Republic","Czech Republic","Hertha BSC",31
"3eb22ec9","2021-12-30 16:22:08","Bernardo Silva","FW-MF (AM-CM)","92% Left",173,65,"August 10, 1994","Lisbon","Portugal","Portugal","Manchester City",27
"3ec3c1c9","2021-12-30 16:48:28","Lucas Martínez Quarta","DF-MF (CB)","80% Right",181,75,"May 10, 1996","Buenos Aires F.D.","Argentina","Argentina","Fiorentina",25
"3ecc11d8","2021-12-30 16:06:19","Yeray Álvarez","DF (CB, right)","92% Right",183,79,"January 24, 1995","Barakaldo","Spain",NULL,"Athletic Club",26
